Run Number,Comment
2,MISSING
3,MISSING
11,Trigger Rate > 2
16,Trigger Rate > 2
17,Trigger Rate > 2
21,Trigger Rate > 2
22,Trigger Rate > 2
23,Trigger Rate > 2
24,Trigger Rate > 2
25,Trigger Rate > 2
26,Trigger Rate > 2
27,Trigger Rate > 2
28,Trigger Rate > 2
29,Trigger Rate > 2
30,Trigger Rate > 2
31,Trigger Rate > 2
32,Trigger Rate > 2
33,Trigger Rate > 2
34,Trigger Rate > 2
36,Trigger Rate > 2
37,Trigger Rate > 2
38,Trigger Rate > 2
39,Trigger Rate > 2
40,Trigger Rate > 2
41,Trigger Rate > 2
44,Trigger Rate > 2
46,Trigger Rate > 2
63,Trigger Rate > 2
64,Trigger Rate > 2
65,Trigger Rate > 2
66,Trigger Rate > 2
67,Trigger Rate > 2
152,Trigger Rate > 2
153,Trigger Rate > 2
154,Trigger Rate > 2
155,Trigger Rate > 2
156,Trigger Rate > 2
157,Trigger Rate > 2
158,Trigger Rate > 2
159,Trigger Rate > 2
160,Trigger Rate > 2
243,No Surface Trigger / Component for GPS Surveying of stations
244,No Surface Trigger / Component for GPS Surveying of stations
270,"berm-top pulser, first test"
271,"berm-top pulser, deep trigger"
272,"berm-top pulser, chn6 trigger"
273,"berm-top pulser, chn6 trigger"
274,"berm-top pulser, chn6 trigger"
275,"berm-top pulser, chn6 trigger"
276,"berm-top pulser, chn6 trigger"
277,"berm-top pulser, chn6 trigger"
278,"berm-top pulser, chn6 trigger"
279,"berm-top pulser, chn6 trigger"
280,"berm-top pulser, chn6 trigger"
281,"berm-top pulser, chn6 trigger"
282,"berm-top pulser, chn6 trigger"
283,"berm-top pulser, chn6 trigger"
284,"berm-top pulser, chn6 trigger"
285,"berm-top pulser, chn6 trigger"
286,"berm-top pulser, chn6 trigger"
287,"berm-top pulser, chn6 trigger"
288,Trigger Rate > 2
307,snowmobile going out to stations
308,snowmobile going out to stations
309,snowmobile going out to stations
310,"snowmobile going out to stations, deep only"
311,"snowmobile going out to stations, deep only, surface off"
